# x_m,y_m,w_tr_right_m,w_tr_left_m
1.7681,1.1279,0.4337,0.4337
1.7681,1.1079,0.4385,0.4385
1.7681,1.0879,0.4441,0.4441
1.7681,1.0679,0.4503,0.4503
1.7681,1.0479,0.4571,0.4571
1.7681,1.0279,0.4632,0.4632
1.7681,1.0079,0.4632,0.4632
1.7681,0.9879,0.4614,0.4614
1.7681,0.9679,0.4579,0.4579
1.7681,0.9479,0.4532,0.4532
1.7681,0.9279,0.4492,0.4492
1.7681,0.9079,0.4459,0.4459
1.7681,0.8879,0.4433,0.4433
1.7681,0.8679,0.4415,0.4415
1.7481,0.8479,0.4604,0.4604
1.7481,0.8279,0.4579,0.4579
1.7481,0.8079,0.4532,0.4532
1.7481,0.7879,0.4492,0.4492
1.7481,0.7679,0.4459,0.4459
1.7481,0.7479,0.4433,0.4433
1.7481,0.7279,0.4415,0.4415
1.7281,0.7079,0.4604,0.4604
1.7281,0.6879,0.4600,0.4600
1.7281,0.6679,0.4600,0.4600
1.7281,0.6479,0.4600,0.4600
1.7281,0.6279,0.4600,0.4600
1.7281,0.6079,0.4600,0.4600
1.7081,0.5879,0.4800,0.4800
1.7081,0.5679,0.4800,0.4800
1.7081,0.5479,0.4772,0.4772
1.7081,0.5279,0.4727,0.4727
1.7081,0.5079,0.4689,0.4689
1.6881,0.4879,0.4855,0.4855
1.6881,0.4679,0.4831,0.4831
1.6881,0.4479,0.4814,0.4814
1.6681,0.4279,0.5003,0.5003
1.6681,0.4079,0.5000,0.5000
1.6681,0.3879,0.5000,0.5000
1.6481,0.3679,0.5200,0.5200
1.6481,0.3479,0.5200,0.5200
1.6481,0.3279,0.5200,0.5200
1.6281,0.3079,0.5403,0.5403
1.6281,0.2879,0.5412,0.5412
1.6281,0.2679,0.5428,0.5428
1.6081,0.2479,0.5648,0.5648
1.6081,0.2279,0.5675,0.5675
1.5881,0.2079,0.5905,0.5905
1.5681,0.1879,0.6139,0.6139
1.5481,0.1679,0.6376,0.6376
1.5281,0.1479,0.6616,0.6616
1.5081,0.1479,0.6810,0.6810
1.4881,0.1279,0.7052,0.7052
1.4681,0.1079,0.7000,0.7000
