# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6920,-5.7878,0.4060,0.4060
0.7320,-5.7878,0.4200,0.4200
0.7720,-5.7878,0.4261,0.4261
0.8120,-5.7878,0.4337,0.4337
0.8520,-5.7878,0.4337,0.4337
0.8920,-5.8278,0.4200,0.4200
0.9320,-5.8278,0.4261,0.4261
0.9720,-5.8278,0.4337,0.4337
1.0120,-5.8278,0.4441,0.4441
1.0520,-5.8278,0.4337,0.4337
1.0920,-5.8278,0.4261,0.4261
1.1320,-5.8678,0.4215,0.4215
1.1720,-5.8678,0.4261,0.4261
1.2120,-5.8678,0.4337,0.4337
1.2520,-5.8678,0.4441,0.4441
1.2920,-5.8678,0.4441,0.4441
1.3320,-5.8678,0.4337,0.4337
1.3720,-5.8678,0.4261,0.4261
1.4120,-5.8678,0.4215,0.4215
1.4520,-5.9078,0.4337,0.4337
1.4920,-5.9078,0.4441,0.4441
1.5320,-5.9078,0.4571,0.4571
1.5720,-5.9078,0.4571,0.4571
1.6120,-5.9078,0.4441,0.4441
1.6520,-5.9078,0.4337,0.4337
1.6920,-5.9078,0.4261,0.4261
1.7320,-5.9478,0.4614,0.4614
1.7720,-5.9478,0.4600,0.4600
1.8120,-5.9478,0.4600,0.4600
1.8520,-5.9478,0.4600,0.4600
1.8920,-5.9878,0.4657,0.4657
1.9320,-5.9878,0.4727,0.4727
1.9720,-5.9878,0.4824,0.4824
2.0120,-5.9878,0.4824,0.4824
2.0520,-5.9878,0.4727,0.4727
2.0920,-5.9878,0.4657,0.4657
2.1320,-5.9878,0.4614,0.4614
2.1720,-5.9878,0.4600,0.4600
2.2120,-5.9878,0.4600,0.4600
2.2520,-6.0278,0.4946,0.4946
2.2920,-6.0278,0.5000,0.5000
2.3320,-6.0278,0.5000,0.5000
2.3720,-6.0278,0.5000,0.5000
2.4120,-6.0278,0.5000,0.5000
2.4520,-6.0678,0.4946,0.4946
2.4920,-6.0678,0.5093,0.5093
2.5320,-6.0678,0.5119,0.5119
2.5720,-6.0678,0.5053,0.5053
2.6120,-6.0678,0.5013,0.5013
2.6520,-6.0678,0.4946,0.4946
2.6920,-6.1078,0.5119,0.5119
2.7320,-6.1078,0.5119,0.5119
2.7720,-6.1078,0.5053,0.5053
2.8120,-6.1078,0.5013,0.5013
2.8520,-6.1078,0.5000,0.5000
2.8920,-6.1078,0.5000,0.5000
2.9320,-6.1078,0.5000,0.5000
2.9720,-6.1078,0.5000,0.5000
3.0120,-6.1078,0.5000,0.5000
3.0520,-6.1478,0.5400,0.5400
3.0920,-6.1478,0.5400,0.5400
3.1320,-6.1478,0.5400,0.5400
3.1720,-6.1478,0.5412,0.5412
3.2120,-6.1478,0.5450,0.5450
3.2520,-6.1478,0.5512,0.5512
3.2920,-6.1478,0.5597,0.5597
3.3320,-6.1478,0.5705,0.5705
3.3720,-6.1478,0.5835,0.5835
3.4120,-6.1878,0.6211,0.6211
3.4520,-6.1878,0.6244,0.6244
3.4920,-6.1878,0.6299,0.6299
3.5320,-6.1878,0.6376,0.6376
3.5720,-6.1878,0.6473,0.6473
3.6120,-6.1878,0.6589,0.6589
3.6520,-6.1878,0.6725,0.6725
3.6920,-6.1878,0.6859,0.6859
3.7320,-6.1878,0.6970,0.6970
3.7720,-6.1878,0.7010,0.7010
3.8120,-6.1478,0.6642,0.6642
3.8520,-6.1078,0.6299,0.6299
3.8520,-6.0678,0.6376,0.6376
3.8920,-6.0278,0.6088,0.6088
3.9320,-5.9878,0.5800,0.5800
3.9320,-5.9478,0.5800,0.5800
3.9320,-5.9078,0.5812,0.5812
3.9720,-5.8678,0.5450,0.5450
3.9720,-5.8278,0.5512,0.5512
4.0120,-5.7878,0.5210,0.5210
4.0120,-5.7478,0.5325,0.5325
4.0120,-5.7078,0.5412,0.5412
4.0120,-5.6678,0.5450,0.5450
4.0520,-5.6278,0.5119,0.5119
4.0520,-5.5878,0.5210,0.5210
4.0520,-5.5478,0.5325,0.5325
4.0520,-5.5078,0.5261,0.5261
4.0920,-5.4678,0.5013,0.5013
4.0920,-5.4278,0.5053,0.5053
4.0920,-5.3878,0.5119,0.5119
4.0920,-5.3478,0.5119,0.5119
4.0920,-5.3078,0.5053,0.5053
4.0920,-5.2678,0.4946,0.4946
4.0920,-5.2278,0.4824,0.4824
4.0920,-5.1878,0.4727,0.4727
4.0920,-5.1478,0.4657,0.4657
4.0920,-5.1078,0.4614,0.4614
4.1320,-5.0678,0.5000,0.5000
4.1320,-5.0278,0.5000,0.5000
4.1320,-4.9878,0.5013,0.5013
4.1320,-4.9478,0.5053,0.5053
4.1320,-4.9078,0.5119,0.5119
4.1320,-4.8678,0.5210,0.5210
4.1320,-4.8278,0.5325,0.5325
4.1320,-4.7878,0.5450,0.5450
4.0920,-4.7478,0.5210,0.5210
4.0920,-4.7078,0.5325,0.5325
4.0520,-4.6678,0.5093,0.5093
4.0120,-4.6278,0.4906,0.4906
3.9720,-4.5878,0.4727,0.4727
3.9720,-4.5478,0.4727,0.4727
3.9320,-4.5078,0.4557,0.4557
3.8920,-4.5078,0.4441,0.4441
3.8520,-4.4678,0.4381,0.4381
3.8520,-4.4278,0.4381,0.4381
3.8120,-4.3878,0.4381,0.4381
3.7720,-4.3478,0.4381,0.4381
3.7320,-4.3078,0.4381,0.4381
3.6920,-4.2678,0.4381,0.4381
3.6520,-4.2678,0.4381,0.4381
3.6120,-4.2278,0.4441,0.4441
3.6120,-4.1878,0.4557,0.4557
3.5720,-4.1478,0.4727,0.4727
3.5320,-4.1478,0.4727,0.4727
3.4920,-4.1078,0.4906,0.4906
3.4520,-4.0678,0.5093,0.5093
3.4520,-4.0278,0.5261,0.5261
3.4120,-3.9878,0.5462,0.5462
3.4120,-3.9478,0.5325,0.5325
3.3720,-3.9078,0.5597,0.5597
3.3720,-3.8678,0.5512,0.5512
3.3720,-3.8278,0.5450,0.5450
3.3720,-3.7878,0.5412,0.5412
3.3720,-3.7478,0.5400,0.5400
3.3720,-3.7078,0.5400,0.5400
3.3720,-3.6678,0.5400,0.5400
3.3720,-3.6278,0.5400,0.5400
3.3720,-3.5878,0.5325,0.5325
3.3720,-3.5478,0.5210,0.5210
3.3720,-3.5078,0.5119,0.5119
3.3720,-3.4678,0.5053,0.5053
3.3720,-3.4278,0.5013,0.5013
3.3720,-3.3878,0.5000,0.5000
3.3720,-3.3478,0.5000,0.5000
3.3720,-3.3078,0.5000,0.5000
3.3720,-3.2678,0.5000,0.5000
3.3720,-3.2278,0.5000,0.5000
3.3720,-3.1878,0.5000,0.5000
3.3720,-3.1478,0.5000,0.5000
3.4120,-3.1078,0.5400,0.5400
3.4120,-3.0678,0.5400,0.5400
3.4120,-3.0278,0.5400,0.5400
3.4120,-2.9878,0.5400,0.5400
3.4520,-2.9478,0.5800,0.5800
3.4920,-2.9078,0.5800,0.5800
3.5320,-2.8678,0.5412,0.5412
3.5720,-2.8278,0.5053,0.5053
3.6120,-2.8278,0.5119,0.5119
3.6520,-2.7878,0.4824,0.4824
