# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.9771,-0.3481,0.5261,0.5261
-3.8971,-0.3881,0.5261,0.5261
-3.8171,-0.4281,0.5261,0.5261
-3.7371,-0.4881,0.5440,0.5440
-3.6571,-0.5281,0.5515,0.5515
-3.5771,-0.5881,0.5708,0.5708
-3.4971,-0.6281,0.5708,0.5708
-3.4171,-0.6681,0.5708,0.5708
-3.3371,-0.7281,0.5708,0.5708
-3.2571,-0.7681,0.5723,0.5723
-3.1771,-0.8081,0.5800,0.5800
-3.0971,-0.8481,0.5800,0.5800
-3.0171,-0.8881,0.5800,0.5800
-2.9371,-0.9281,0.5800,0.5800
-2.8571,-0.9681,0.5800,0.5800
-2.7771,-0.9881,0.5621,0.5621
-2.6971,-1.0081,0.5440,0.5440
-2.6171,-1.0281,0.5325,0.5325
-2.5371,-1.0481,0.5315,0.5315
-2.4571,-1.0681,0.5315,0.5315
-2.3771,-1.0881,0.5412,0.5412
-2.2971,-1.0681,0.5200,0.5200
-2.2171,-1.0681,0.5200,0.5200
-2.1371,-1.0481,0.5013,0.5013
-2.0571,-1.0281,0.4923,0.4923
-1.9771,-1.0281,0.5119,0.5119
-1.8971,-1.0081,0.5135,0.5135
-1.8171,-0.9881,0.5203,0.5203
-1.7371,-0.9681,0.5353,0.5353
-1.6571,-0.9281,0.5381,0.5381
-1.5771,-0.8681,0.5325,0.5325
-1.4971,-0.8081,0.5366,0.5366
-1.4171,-0.7281,0.5366,0.5366
-1.3371,-0.6481,0.5261,0.5261
-1.2971,-0.5681,0.5213,0.5213
-1.2571,-0.4881,0.5174,0.5174
-1.2171,-0.4081,0.5174,0.5174
-1.1571,-0.3281,0.5353,0.5353
-1.1171,-0.2481,0.5277,0.5277
-1.0371,-0.1681,0.5621,0.5621
-0.9571,-0.0881,0.5788,0.5788
-0.8771,-0.0481,0.5657,0.5657
-0.7971,-0.0081,0.5621,0.5621
-0.7171,0.0319,0.5621,0.5621
-0.6371,0.0519,0.5515,0.5515
-0.5571,0.0919,0.5648,0.5648
-0.4771,0.1119,0.5648,0.5648
-0.3971,0.1519,0.5873,0.5873
-0.3171,0.1519,0.5803,0.5803
-0.2371,0.1319,0.5600,0.5600
