# x_m,y_m,w_tr_right_m,w_tr_left_m
2.7186,-2.7768,0.6071,0.6071
2.6986,-2.7968,0.6071,0.6071
2.6786,-2.8168,0.6071,0.6071
2.6586,-2.8368,0.6071,0.6071
2.6386,-2.8368,0.6046,0.6046
2.6186,-2.8568,0.6077,0.6077
2.5986,-2.8768,0.6094,0.6094
2.5786,-2.8968,0.6122,0.6122
2.5586,-2.9168,0.6161,0.6161
2.5386,-2.9368,0.6122,0.6122
2.5186,-2.9568,0.6094,0.6094
2.4986,-2.9568,0.6122,0.6122
2.4786,-2.9768,0.6161,0.6161
2.4586,-2.9968,0.6122,0.6122
2.4386,-2.9968,0.6102,0.6102
2.4186,-3.0168,0.6161,0.6161
2.3986,-3.0368,0.6161,0.6161
2.3786,-3.0368,0.6102,0.6102
2.3586,-3.0568,0.6161,0.6161
2.3386,-3.0568,0.6046,0.6046
2.3186,-3.0768,0.6102,0.6102
2.2986,-3.0768,0.5997,0.5997
2.2786,-3.0768,0.5896,0.5896
2.2586,-3.0968,0.5977,0.5977
2.2386,-3.0968,0.5888,0.5888
2.2186,-3.0968,0.5800,0.5800
2.1986,-3.0968,0.5708,0.5708
2.1786,-3.1168,0.5803,0.5803
2.1586,-3.1168,0.5723,0.5723
2.1386,-3.1168,0.5648,0.5648
2.1186,-3.1168,0.5579,0.5579
2.0986,-3.1368,0.5705,0.5705
2.0786,-3.1568,0.5835,0.5835
2.0586,-3.1568,0.5768,0.5768
2.0386,-3.1568,0.5705,0.5705
2.0186,-3.1568,0.5648,0.5648
1.9986,-3.1768,0.5791,0.5791
1.9786,-3.1968,0.5943,0.5943
1.9586,-3.1968,0.5905,0.5905
1.9386,-3.1968,0.5873,0.5873
1.9186,-3.1968,0.5847,0.5847
1.8986,-3.2168,0.6026,0.6026
1.8786,-3.2168,0.6011,0.6011
1.8586,-3.2368,0.6203,0.6203
1.8386,-3.2368,0.6200,0.6200
1.8186,-3.2368,0.6200,0.6200
1.7986,-3.2368,0.6200,0.6200
1.7786,-3.2368,0.6200,0.6200
1.7586,-3.2368,0.6200,0.6200
1.7386,-3.2568,0.6269,0.6269
1.7186,-3.2568,0.6299,0.6299
1.6986,-3.2568,0.6335,0.6335
1.6786,-3.2568,0.6376,0.6376
1.6586,-3.2568,0.6335,0.6335
1.6386,-3.2568,0.6299,0.6299
1.6186,-3.2568,0.6269,0.6269
1.5986,-3.2768,0.6335,0.6335
1.5786,-3.2768,0.6376,0.6376
1.5586,-3.2768,0.6376,0.6376
1.5386,-3.2768,0.6335,0.6335
1.5186,-3.2768,0.6299,0.6299
1.4986,-3.2768,0.6269,0.6269
1.4786,-3.2968,0.6422,0.6422
