# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.7518,4.5661,0.3079,0.3079
-2.7518,4.5461,0.3123,0.3123
-2.7518,4.5261,0.3176,0.3176
-2.7318,4.5061,0.3045,0.3045
-2.7318,4.4861,0.3079,0.3079
-2.7118,4.4661,0.2929,0.2929
-2.7118,4.4461,0.2985,0.2985
-2.7118,4.4261,0.3050,0.3050
-2.6918,4.4061,0.2940,0.2940
-2.6918,4.3861,0.3025,0.3025
-2.6718,4.3661,0.2940,0.2940
-2.6518,4.3461,0.2847,0.2847
-2.6518,4.3261,0.2883,0.2883
-2.6318,4.3061,0.2842,0.2842
-2.6118,4.2861,0.2758,0.2758
-2.5918,4.2661,0.2672,0.2672
-2.5918,4.2461,0.2606,0.2606
-2.5718,4.2261,0.2561,0.2561
-2.5518,4.2261,0.2561,0.2561
-2.5318,4.2061,0.2538,0.2538
-2.5118,4.1861,0.2499,0.2499
-2.4918,4.1661,0.2441,0.2441
-2.4718,4.1461,0.2400,0.2400
-2.4518,4.1261,0.2329,0.2329
-2.4318,4.1061,0.2280,0.2280
-2.4118,4.1061,0.2256,0.2256
-2.3918,4.0861,0.2256,0.2256
-2.3718,4.0661,0.2280,0.2280
-2.3518,4.0461,0.2225,0.2225
-2.3318,4.0461,0.2225,0.2225
-2.3118,4.0261,0.2280,0.2280
-2.2918,4.0061,0.2225,0.2225
-2.2718,4.0061,0.2225,0.2225
-2.2518,3.9861,0.2280,0.2280
-2.2318,3.9861,0.2225,0.2225
-2.2118,3.9661,0.2311,0.2311
-2.1918,3.9461,0.2329,0.2329
-2.1718,3.9461,0.2311,0.2311
-2.1518,3.9261,0.2400,0.2400
-2.1318,3.9061,0.2394,0.2394
-2.1118,3.8861,0.2394,0.2394
-2.0918,3.8661,0.2394,0.2394
-2.0718,3.8461,0.2394,0.2394
-2.0518,3.8261,0.2406,0.2406
-2.0318,3.8061,0.2441,0.2441
-2.0118,3.7861,0.2499,0.2499
-1.9918,3.7861,0.2499,0.2499
-1.9718,3.7661,0.2561,0.2561
-1.9718,3.7461,0.2561,0.2561
-1.9518,3.7261,0.2606,0.2606
-1.9318,3.7261,0.2672,0.2672
-1.9118,3.7061,0.2758,0.2758
-1.9118,3.6861,0.2758,0.2758
-1.8918,3.6661,0.2847,0.2847
-1.8718,3.6661,0.2940,0.2940
-1.8518,3.6461,0.3025,0.3025
-1.8518,3.6261,0.3025,0.3025
-1.8318,3.6061,0.3118,0.3118
-1.8118,3.6061,0.3205,0.3205
-1.7918,3.5861,0.3294,0.3294
-1.7918,3.5661,0.3280,0.3280
-1.7718,3.5461,0.3327,0.3327
-1.7518,3.5261,0.3391,0.3391
-1.7518,3.5061,0.3294,0.3294
-1.7318,3.4861,0.3386,0.3386
-1.7118,3.4661,0.3441,0.3441
-1.7118,3.4461,0.3386,0.3386
-1.7118,3.4261,0.3294,0.3294
-1.6918,3.4061,0.3386,0.3386
-1.6918,3.3861,0.3294,0.3294
-1.6718,3.3661,0.3386,0.3386
-1.6718,3.3461,0.3308,0.3308
-1.6518,3.3261,0.3427,0.3427
-1.6518,3.3061,0.3368,0.3368
-1.6518,3.2861,0.3308,0.3308
-1.6518,3.2661,0.3238,0.3238
-1.6318,3.2461,0.3368,0.3368
-1.6318,3.2261,0.3317,0.3317
-1.6318,3.2061,0.3276,0.3276
-1.6318,3.1861,0.3238,0.3238
-1.6118,3.1661,0.3368,0.3368
-1.6118,3.1461,0.3317,0.3317
-1.6118,3.1261,0.3276,0.3276
-1.6118,3.1061,0.3243,0.3243
-1.5918,3.0861,0.3418,0.3418
-1.5918,3.0661,0.3405,0.3405
-1.5918,3.0461,0.3400,0.3400
-1.5918,3.0261,0.3400,0.3400
-1.5918,3.0061,0.3400,0.3400
-1.5718,2.9861,0.3600,0.3600
-1.5718,2.9661,0.3600,0.3600
-1.5718,2.9461,0.3600,0.3600
-1.5718,2.9261,0.3600,0.3600
