# x_m,y_m,w_tr_right_m,w_tr_left_m
2.2500,0.4837,1.1662,1.1662
2.2500,0.4437,1.1710,1.1710
2.2500,0.4037,1.1662,1.1662
2.2500,0.3637,1.1628,1.1628
2.2500,0.3237,1.1607,1.1607
2.2500,0.2837,1.1600,1.1600
2.2500,0.2437,1.1600,1.1600
2.2500,0.2037,1.1600,1.1600
2.2500,0.1637,1.1600,1.1600
2.2500,0.1237,1.1600,1.1600
2.2900,0.0837,1.1607,1.1607
2.2900,0.0437,1.1628,1.1628
2.2900,0.0037,1.1662,1.1662
2.2900,-0.0363,1.1710,1.1710
2.2900,-0.0763,1.1662,1.1662
2.2900,-0.1163,1.1628,1.1628
2.2900,-0.1563,1.1607,1.1607
2.2900,-0.1963,1.1600,1.1600
2.2900,-0.2363,1.1600,1.1600
2.2900,-0.2763,1.1600,1.1600
2.2900,-0.3163,1.1600,1.1600
2.2900,-0.3563,1.1600,1.1600
2.3300,-0.3963,1.1662,1.1662
2.3300,-0.4363,1.1710,1.1710
2.3300,-0.4763,1.1771,1.1771
2.3300,-0.5163,1.1846,1.1846
2.3300,-0.5563,1.1846,1.1846
2.3300,-0.5963,1.1771,1.1771
2.3300,-0.6363,1.1710,1.1710
2.3300,-0.6763,1.1662,1.1662
2.3300,-0.7163,1.1628,1.1628
2.3300,-0.7563,1.1607,1.1607
2.3300,-0.7963,1.1600,1.1600
2.3300,-0.8363,1.1600,1.1600
2.3700,-0.8763,1.1600,1.1600
2.3700,-0.9163,1.1607,1.1607
2.3700,-0.9563,1.1628,1.1628
2.3700,-0.9963,1.1662,1.1662
2.3700,-1.0363,1.1710,1.1710
2.3700,-1.0763,1.1771,1.1771
2.3700,-1.1163,1.1710,1.1710
2.3700,-1.1563,1.1662,1.1662
2.3700,-1.1963,1.1628,1.1628
2.4100,-1.1963,1.1600,1.1600
2.4500,-1.2363,1.1200,1.1200
2.4900,-1.2763,1.0800,1.0800
2.5300,-1.3163,1.0400,1.0400
2.5700,-1.3563,1.0008,1.0008
2.6100,-1.3963,0.9633,0.9633
2.6500,-1.4363,0.9278,0.9278
2.6900,-1.4763,0.8944,0.8944
2.7300,-1.5163,0.8551,0.8551
2.7700,-1.5163,0.8246,0.8246
2.8100,-1.5563,0.7970,0.7970
2.8500,-1.5963,0.7611,0.7611
2.8900,-1.6363,0.7200,0.7200
2.9300,-1.6763,0.6800,0.6800
2.9700,-1.7163,0.6325,0.6325
3.0100,-1.7163,0.6210,0.6210
3.0500,-1.7563,0.5727,0.5727
3.0900,-1.7563,0.5657,0.5657
3.1300,-1.7963,0.5215,0.5215
3.1700,-1.7963,0.5200,0.5200
3.2100,-1.7963,0.5200,0.5200
3.2500,-1.7963,0.5200,0.5200
3.2900,-1.7963,0.5060,0.5060
3.3300,-1.8363,0.4561,0.4561
3.3700,-1.8363,0.4472,0.4472
3.4100,-1.8363,0.4418,0.4418
3.4500,-1.8363,0.4400,0.4400
3.4900,-1.8363,0.4400,0.4400
3.5300,-1.8363,0.4308,0.4308
3.5700,-1.8363,0.4176,0.4176
3.6100,-1.8363,0.4079,0.4079
3.6500,-1.8363,0.4020,0.4020
3.6900,-1.8363,0.4000,0.4000
3.7300,-1.8363,0.4000,0.4000
3.7700,-1.8363,0.4000,0.4000
3.8100,-1.7963,0.4000,0.4000
3.8500,-1.7963,0.4020,0.4020
3.8900,-1.7963,0.4079,0.4079
3.9300,-1.7963,0.4020,0.4020
3.9700,-1.7963,0.4000,0.4000
4.0100,-1.7963,0.4000,0.4000
4.0500,-1.7563,0.4020,0.4020
4.0900,-1.7563,0.4079,0.4079
4.1300,-1.7563,0.4079,0.4079
4.1700,-1.7563,0.4020,0.4020
4.2100,-1.7563,0.4000,0.4000
4.2500,-1.7563,0.4000,0.4000
4.2900,-1.7563,0.4000,0.4000
4.3300,-1.7163,0.4020,0.4020
4.3700,-1.7163,0.4079,0.4079
4.4100,-1.7163,0.4079,0.4079
4.4500,-1.7163,0.4020,0.4020
4.4900,-1.7163,0.4000,0.4000
4.5300,-1.7163,0.4000,0.4000
4.5700,-1.6763,0.4020,0.4020
4.6100,-1.6763,0.4079,0.4079
4.6500,-1.6763,0.4079,0.4079
4.6900,-1.6763,0.4020,0.4020
4.7300,-1.6763,0.4000,0.4000
4.7700,-1.6763,0.4000,0.4000
4.8100,-1.6763,0.4000,0.4000
4.8500,-1.6363,0.4079,0.4079
4.8900,-1.6363,0.4176,0.4176
4.9300,-1.6363,0.4079,0.4079
4.9700,-1.6363,0.4020,0.4020
5.0100,-1.6363,0.4000,0.4000
5.0500,-1.6363,0.4000,0.4000
5.0900,-1.5963,0.4079,0.4079
5.1300,-1.5963,0.4176,0.4176
5.1700,-1.5963,0.4079,0.4079
5.2100,-1.5963,0.4020,0.4020
5.2500,-1.5963,0.4000,0.4000
5.2900,-1.5963,0.4000,0.4000
5.3300,-1.5563,0.4308,0.4308
5.3700,-1.5563,0.4176,0.4176
5.4100,-1.5563,0.4079,0.4079
5.4500,-1.5563,0.4020,0.4020
5.4900,-1.5163,0.4400,0.4400
5.5300,-1.5163,0.4400,0.4400
5.5700,-1.4763,0.4665,0.4665
5.6100,-1.4763,0.4561,0.4561
5.6500,-1.4763,0.4472,0.4472
5.6900,-1.4763,0.4418,0.4418
5.7300,-1.4363,0.4800,0.4800
5.7700,-1.4363,0.4682,0.4682
5.8100,-1.4363,0.4561,0.4561
5.8500,-1.4363,0.4472,0.4472
5.8900,-1.4363,0.4418,0.4418
5.9300,-1.4363,0.4400,0.4400
5.9700,-1.3963,0.4418,0.4418
6.0100,-1.3963,0.4418,0.4418
6.0500,-1.3963,0.4400,0.4400
6.0900,-1.3963,0.4400,0.4400
6.1300,-1.3963,0.4400,0.4400
6.1700,-1.3963,0.4400,0.4400
6.2100,-1.3963,0.4400,0.4400
6.2500,-1.3963,0.4308,0.4308
6.2900,-1.3963,0.4176,0.4176
6.3300,-1.3563,0.4472,0.4472
6.3700,-1.3563,0.4418,0.4418
6.4100,-1.3563,0.4400,0.4400
6.4500,-1.3163,0.4472,0.4472
6.4900,-1.3163,0.4561,0.4561
6.5300,-1.3163,0.4472,0.4472
6.5700,-1.3163,0.4418,0.4418
6.6100,-1.3163,0.4400,0.4400
6.6500,-1.2763,0.4400,0.4400
6.6900,-1.2763,0.4418,0.4418
6.7300,-1.2763,0.4472,0.4472
6.7700,-1.2763,0.4472,0.4472
6.8100,-1.2763,0.4418,0.4418
6.8500,-1.2763,0.4400,0.4400
6.8900,-1.2363,0.4472,0.4472
6.9300,-1.2363,0.4561,0.4561
6.9700,-1.2363,0.4561,0.4561
