# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2310,-0.0644,0.3338,0.3338
-1.1810,0.0356,0.3305,0.3305
-1.1310,0.1356,0.3294,0.3294
-1.0810,0.2356,0.3249,0.3249
-1.0310,0.3356,0.3249,0.3249
-0.9810,0.4356,0.3249,0.3249
-0.9310,0.5356,0.3205,0.3205
-0.8710,0.6356,0.3159,0.3159
-0.8210,0.7356,0.3115,0.3115
-0.7710,0.8356,0.3118,0.3118
-0.7210,0.9356,0.3115,0.3115
-0.6710,1.0356,0.3115,0.3115
-0.6210,1.1356,0.3115,0.3115
-0.5810,1.2356,0.3080,0.3080
-0.5310,1.3356,0.3115,0.3115
-0.4710,1.4356,0.3249,0.3249
-0.4010,1.5356,0.3428,0.3428
-0.3310,1.6356,0.3624,0.3624
-0.2410,1.7356,0.4054,0.4054
-0.1410,1.8156,0.4385,0.4385
-0.0410,1.8156,0.4060,0.4060
0.0590,1.7956,0.3610,0.3610
0.1590,1.7756,0.3243,0.3243
0.2590,1.7556,0.3000,0.3000
0.3590,1.7356,0.2847,0.2847
0.4590,1.7156,0.2864,0.2864
0.5590,1.6856,0.2828,0.2828
0.6590,1.6456,0.2847,0.2847
0.7590,1.5956,0.2847,0.2847
0.8590,1.5456,0.2828,0.2828
0.9590,1.4956,0.2758,0.2758
1.0590,1.4556,0.2801,0.2801
1.1590,1.4056,0.2801,0.2801
1.2590,1.3556,0.2801,0.2801
1.3590,1.3056,0.2847,0.2847
1.4590,1.2556,0.2847,0.2847
1.5590,1.2056,0.2847,0.2847
1.6590,1.1556,0.2891,0.2891
1.7590,1.0956,0.2981,0.2981
1.8590,1.0256,0.3159,0.3159
1.9590,0.9356,0.3562,0.3562
2.0390,0.8556,0.3875,0.3875
2.1190,0.7556,0.4187,0.4187
2.1790,0.6556,0.4457,0.4457
2.1790,0.5556,0.4277,0.4277
2.1590,0.4556,0.3937,0.3937
2.1390,0.3556,0.3700,0.3700
2.1190,0.2556,0.3589,0.3589
2.0990,0.1556,0.3561,0.3561
2.0790,0.0556,0.3649,0.3649
2.0490,-0.0444,0.3741,0.3741
2.0090,-0.1444,0.3785,0.3785
1.9590,-0.2444,0.3830,0.3830
1.9090,-0.3444,0.3924,0.3924
1.8490,-0.4444,0.4148,0.4148
1.7590,-0.5244,0.3904,0.3904
1.6590,-0.5544,0.3374,0.3374
1.5590,-0.5644,0.3130,0.3130
1.4590,-0.5844,0.2901,0.2901
1.3590,-0.5944,0.2920,0.2920
1.2590,-0.5944,0.2962,0.2962
1.1590,-0.5944,0.2900,0.2900
1.0590,-0.6144,0.3219,0.3219
0.9590,-0.6244,0.3512,0.3512
0.8590,-0.6544,0.4108,0.4108
0.7590,-0.7244,0.4277,0.4277
0.6790,-0.8244,0.3847,0.3847
0.6190,-0.9244,0.3652,0.3652
0.5690,-1.0244,0.3652,0.3652
0.5190,-1.1244,0.3653,0.3653
0.4590,-1.2244,0.3607,0.3607
0.3990,-1.3244,0.3632,0.3632
0.3390,-1.4244,0.3562,0.3562
0.2790,-1.5244,0.3549,0.3549
0.2190,-1.6244,0.3579,0.3579
0.1590,-1.7244,0.3604,0.3604
0.0990,-1.8244,0.3607,0.3607
0.0390,-1.9244,0.3604,0.3604
-0.0210,-2.0244,0.3604,0.3604
-0.0810,-2.1244,0.3653,0.3653
-0.1410,-2.2244,0.3632,0.3632
-0.2010,-2.3244,0.3607,0.3607
-0.2610,-2.4244,0.3614,0.3614
-0.3310,-2.5244,0.3785,0.3785
-0.4210,-2.6244,0.4048,0.4048
-0.5210,-2.7144,0.4371,0.4371
-0.6210,-2.7844,0.4597,0.4597
-0.7210,-2.8344,0.4757,0.4757
-0.8110,-2.8544,0.4756,0.4756
-0.9110,-2.8244,0.4324,0.4324
-1.0110,-2.8044,0.4100,0.4100
-1.1110,-2.7844,0.3950,0.3950
-1.2110,-2.7644,0.3948,0.3948
-1.3110,-2.7344,0.3940,0.3940
-1.4110,-2.7044,0.4054,0.4054
-1.5110,-2.6544,0.4012,0.4012
-1.6110,-2.6044,0.4012,0.4012
-1.7110,-2.5444,0.4108,0.4108
-1.8110,-2.4844,0.4188,0.4188
-1.9110,-2.4344,0.4220,0.4220
-2.0010,-2.3444,0.4846,0.4846
-2.0810,-2.2444,0.5440,0.5440
-2.1810,-2.2644,0.5090,0.5090
-2.0810,-2.2044,0.5277,0.5277
-2.0610,-2.1044,0.4757,0.4757
-2.0410,-2.0044,0.4289,0.4289
-2.0210,-1.9044,0.3903,0.3903
-2.0010,-1.8044,0.3600,0.3600
-1.9710,-1.7044,0.3300,0.3300
-1.9510,-1.6044,0.3205,0.3205
-1.9310,-1.5044,0.3176,0.3176
-1.9110,-1.4044,0.3301,0.3301
-1.8610,-1.3044,0.3249,0.3249
-1.8110,-1.2044,0.3308,0.3308
-1.7610,-1.1044,0.3294,0.3294
-1.7110,-1.0044,0.3327,0.3327
-1.6610,-0.9044,0.3305,0.3305
-1.6010,-0.8044,0.3338,0.3338
-1.5510,-0.7044,0.3338,0.3338
-1.5010,-0.6044,0.3383,0.3383
-1.4510,-0.5044,0.3383,0.3383
-1.4010,-0.4044,0.3383,0.3383
-1.3510,-0.3044,0.3342,0.3342
-1.3010,-0.2044,0.3338,0.3338
