# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.7023,1.7370,0.2940,0.2940
-2.6223,1.7770,0.2940,0.2940
-2.5423,1.8170,0.2940,0.2940
-2.4623,1.8570,0.2940,0.2940
-2.3823,1.8969,0.2883,0.2883
-2.3023,1.9369,0.2847,0.2847
-2.2223,1.9970,0.2847,0.2847
-2.1423,2.0370,0.2883,0.2883
-2.0623,2.0770,0.2883,0.2883
-1.9823,2.1170,0.2847,0.2847
-1.9023,2.1570,0.2774,0.2774
-1.8223,2.1970,0.2758,0.2758
-1.7423,2.2570,0.2758,0.2758
-1.6623,2.2970,0.2758,0.2758
-1.5823,2.3370,0.2758,0.2758
-1.5023,2.3769,0.2758,0.2758
-1.4223,2.4169,0.2758,0.2758
-1.3423,2.4569,0.2758,0.2758
-1.2623,2.4970,0.2758,0.2758
-1.1823,2.5370,0.2758,0.2758
-1.1023,2.5770,0.2672,0.2672
-1.0223,2.6170,0.2672,0.2672
-0.9423,2.6570,0.2672,0.2672
-0.8623,2.6769,0.2544,0.2544
-0.7823,2.6970,0.2544,0.2544
-0.7023,2.6970,0.2406,0.2406
-0.6223,2.7169,0.2600,0.2600
-0.5423,2.7370,0.2800,0.2800
-0.4623,2.7569,0.3000,0.3000
-0.3823,2.7770,0.3243,0.3243
-0.3023,2.7969,0.3617,0.3617
-0.2223,2.8170,0.4060,0.4060
-0.1823,2.8570,0.4571,0.4571
-0.1423,2.7969,0.4188,0.4188
-0.0623,2.7569,0.4188,0.4188
0.0177,2.6769,0.3837,0.3837
0.0777,2.5970,0.3669,0.3669
0.1577,2.5170,0.3386,0.3386
0.1977,2.4369,0.3386,0.3386
0.2577,2.3570,0.3205,0.3205
0.2977,2.2770,0.3219,0.3219
0.3377,2.1970,0.3294,0.3294
0.3777,2.1170,0.3280,0.3280
0.4177,2.0370,0.3162,0.3162
0.4777,1.9569,0.3205,0.3205
0.5177,1.8769,0.3205,0.3205
0.5577,1.7970,0.3205,0.3205
0.5977,1.7170,0.3205,0.3205
0.6377,1.6370,0.3118,0.3118
0.6977,1.5570,0.3162,0.3162
0.7377,1.4769,0.3205,0.3205
0.7577,1.3969,0.3025,0.3025
0.7777,1.3170,0.2863,0.2863
0.7977,1.2370,0.2847,0.2847
0.8177,1.1570,0.2847,0.2847
0.8377,1.0770,0.3000,0.3000
0.8577,0.9970,0.3200,0.3200
0.8777,0.9169,0.3400,0.3400
0.8777,0.8370,0.3418,0.3418
0.8977,0.7570,0.3754,0.3754
0.9177,0.6770,0.4142,0.4142
0.9377,0.5970,0.4571,0.4571
0.9577,0.5170,0.5083,0.5083
0.9177,0.4370,0.5083,0.5083
0.8577,0.3570,0.4814,0.4814
0.7777,0.2770,0.4546,0.4546
0.6977,0.2169,0.4367,0.4367
0.6177,0.1570,0.4215,0.4215
0.5377,0.1170,0.4215,0.4215
0.4577,0.0570,0.4161,0.4161
0.3777,0.0170,0.4215,0.4215
0.2977,-0.0030,0.4099,0.4099
0.2177,-0.0231,0.4000,0.4000
0.1377,-0.0431,0.3948,0.3948
0.0577,-0.0630,0.4016,0.4016
0.0377,-0.1230,0.4579,0.4579
-0.0023,-0.0431,0.3707,0.3707
-0.0823,-0.0231,0.3405,0.3405
-0.1623,0.0170,0.3005,0.3005
-0.2423,0.0370,0.2929,0.2929
-0.3223,0.0570,0.2805,0.2805
-0.4023,0.0570,0.2929,0.2929
-0.4823,0.0770,0.3025,0.3025
-0.5623,0.0970,0.2929,0.2929
-0.6423,0.0970,0.2688,0.2688
-0.7223,0.1170,0.2736,0.2736
-0.8023,0.1570,0.3005,0.3005
-0.8823,0.1770,0.3200,0.3200
-0.9623,0.1970,0.3418,0.3418
-1.0423,0.2169,0.3754,0.3754
-1.1223,0.1970,0.3707,0.3707
-1.2023,0.1770,0.3754,0.3754
-1.2823,0.1570,0.3808,0.3808
-1.3623,0.1370,0.3919,0.3919
-1.4423,0.0970,0.3870,0.3870
-1.5223,0.0570,0.3833,0.3833
-1.6023,0.0170,0.3833,0.3833
-1.6823,-0.0231,0.3833,0.3833
-1.7623,-0.0630,0.3833,0.3833
-1.8423,-0.1030,0.3833,0.3833
-1.9223,-0.1230,0.3833,0.3833
-2.0023,-0.1630,0.3833,0.3833
-2.0823,-0.2030,0.3919,0.3919
-2.1623,-0.2430,0.3919,0.3919
-2.2423,-0.2831,0.3919,0.3919
-2.3223,-0.3230,0.3919,0.3919
-2.4023,-0.3630,0.3919,0.3919
-2.4823,-0.4030,0.3919,0.3919
-2.5623,-0.4430,0.3919,0.3919
-2.6423,-0.4830,0.3870,0.3870
-2.7223,-0.5030,0.3833,0.3833
-2.8023,-0.5230,0.3754,0.3754
-2.8823,-0.5430,0.3707,0.3707
-2.9623,-0.5430,0.3604,0.3604
-3.0423,-0.5630,0.3639,0.3639
-3.1223,-0.5830,0.3800,0.3800
-3.2023,-0.6030,0.4016,0.4016
-3.2823,-0.6230,0.4337,0.4337
-3.3623,-0.6230,0.4492,0.4492
-3.4423,-0.6430,0.4882,0.4882
-3.4823,-0.7030,0.5353,0.5353
-3.4823,-0.7830,0.4831,0.4831
-3.5223,-0.8630,0.4280,0.4280
-3.5423,-0.9430,0.3652,0.3652
-3.5223,-0.6030,0.4758,0.4758
-3.6023,-0.5430,0.4546,0.4546
-3.6823,-0.5030,0.4367,0.4367
-3.7623,-0.4230,0.4012,0.4012
-3.8223,-0.3430,0.3833,0.3833
-3.8823,-0.2631,0.3652,0.3652
-3.9423,-0.1830,0.3472,0.3472
-3.9823,-0.1030,0.3472,0.3472
-4.0223,-0.0231,0.3472,0.3472
-4.0423,0.0570,0.3386,0.3386
-4.0623,0.1370,0.3308,0.3308
-4.0823,0.2169,0.3238,0.3238
-4.1023,0.2970,0.3243,0.3243
-4.1223,0.3770,0.3400,0.3400
-4.1223,0.4569,0.3400,0.3400
-4.1423,0.5370,0.3617,0.3617
-4.1623,0.6170,0.3948,0.3948
-4.1823,0.6970,0.4337,0.4337
-4.1623,0.7170,0.4192,0.4192
-4.1223,0.7970,0.4000,0.4000
-4.0623,0.8769,0.3741,0.3741
-4.0223,0.9569,0.3741,0.3741
-3.9423,1.0370,0.3441,0.3441
-3.8623,1.0970,0.3294,0.3294
-3.7823,1.1570,0.3118,0.3118
-3.7023,1.1970,0.3000,0.3000
-3.6223,1.2370,0.2940,0.2940
-3.5423,1.2970,0.3025,0.3025
-3.4623,1.3370,0.3025,0.3025
-3.3823,1.3769,0.3025,0.3025
-3.3023,1.4169,0.3025,0.3025
-3.2223,1.4569,0.3025,0.3025
-3.1423,1.4970,0.3025,0.3025
-3.0623,1.5370,0.3000,0.3000
-2.9823,1.5770,0.2940,0.2940
-2.9023,1.6170,0.2940,0.2940
-2.8223,1.6770,0.2940,0.2940
-2.7423,1.7170,0.2940,0.2940
